avg_age,count,interest
24.9,24441,Sports
23.8,22726,Entertainment
24.1,21827,Politics
24.2,21760,Health
23.8,21470,Food
23.9,20955,Environment
23.8,20940,History
23.8,20937,Education
23.8,20703,Science
23.8,20675,Inequality
23.9,20604,Technology
23.9,20536,Economy
23.8,20399,Climate change 
30.2,5405,football
21.5,1558,college life
30.1,1541,sport
31.1,1432,calcio
27.0,1336,india
22.2,1304,bollywood
21.0,1234,the conversation
27.8,1208,news
18.2,1156,books
23.0,1123,nature
20.6,1120,hollywood
29.4,1027,serie a
21.8,929,sfsarsd
19.3,820,chintan
21.3,770,#pixstory
26.0,729,music
25.7,715,photography
53.6,650,juventus
26.3,622,italy
37.1,621,nba
26.1,615,premier league
28.8,613,manchester united
24.9,610,cricket
38.7,606,arsenal
21.6,589,bollywood news
26.2,553,usa
38.5,544,tennis
21.8,530,bollywood gossip
23.3,529,kashmir
16.1,527,australia
21.8,527,bollywood life
24.8,524,mental health
26.2,524,soccer
21.8,521,bollywood movies
22.3,514,bollywood music
29.7,504,covid 19
52.8,495,events
21.8,493,bollywood style
39.9,491,psg
23.6,491,afghanistan
21.9,490,bollywood movie
21.9,487,bollywood fashion
27.1,486,ukraine
22.8,483,love
54,480,shareyaarnow
25.2,472,fashion
54.0,472,event marketing
29.8,461,russia
24.2,458,football ⚽️
21.9,453,bollywood dance
28.3,430,basketball
25.6,411,travel
19.3,406,poetry
29.3,394,chelsea
25.8,384,movies
29.9,379,real madrid
23.5,378,nature photography
22.3,371,nssdrc
21.2,367,kashmir valley
12,364,newsdrum
31.6,342,art
21.9,337,aadhaar
20.8,317,reading
30.6,317,liverpool
54,309,event ideas
23.2,307,taliban government
32.5,298,f1
24.9,298,enactusvitc
21.0,290,#healthylifestyle
13.0,288,alt news
21.2,285,#health
32.0,284,calciomercato
21,281,tripura
31.8,279,uefa
22.1,274,foodie
20.6,271,memes
22.6,268,movie
13.4,266,#bollywood
27.0,265,barcelona
28.3,258,preview
21.1,255,bangladesh
25.0,253,fashion news
53.5,251,chill lover radio
12.8,251,#bollywood celebrities
26.0,248,premierleague
12.8,247,#bollywood #legend
31.3,244,champions league
25.7,241,english premier league
